"date","high_price","low_price","closing_price","average_price","total_volume","turnover"
2023-05-23,2282.26,2265.62,2267.34,NA,1,NA
2023-05-22,2286.61,2276.22,2283.31,NA,1,NA
2023-05-19,2295.53,2276.88,2288.37,NA,1,NA
2023-05-17,2248.29,2232.59,2246.2,NA,1,NA
2023-05-16,2250.84,2230.64,2236.25,NA,1,NA
2023-05-15,2252.42,2239.76,2251.24,NA,1,NA
2023-05-12,2248.75,2231.45,2236.03,NA,1,NA
2023-05-11,2240.04,2211.42,2229.91,NA,1,NA
2023-05-10,2232.25,2189.73,2208.66,NA,1,NA
2023-05-09,2236.68,2208.52,2223.58,NA,1,NA
2023-05-08,2245.21,2229.39,2239.1,NA,1,NA
2023-05-05,2240.48,2210,2240.48,NA,1,NA
2023-05-04,2235.29,2219.91,2228.17,NA,1,NA
2023-05-03,2255.6,2228.82,2238.76,NA,1,NA
2023-05-02,2273.63,2232.29,2235.03,NA,1,NA
2023-04-28,2285.89,2247.79,2270.58,NA,1,NA
2023-04-27,2284.63,2225.85,2271.1,NA,1,NA
2023-04-26,2247.71,2221.17,2240.08,NA,1,NA
2023-04-25,2256.5,2237.1,2249.2,NA,1,NA
2023-04-24,2264.67,2247.27,2259.82,NA,1,NA
2023-04-21,2259.46,2235.96,2246.41,NA,1,NA
2023-04-20,2257.37,2241.39,2248.82,NA,1,NA
2023-04-19,2255.88,2242.27,2249.68,NA,1,NA
2023-04-18,2265.81,2245.6,2256.28,NA,1,NA
2023-04-17,2263.6,2245.51,2249.67,NA,1,NA
2023-04-14,2254.63,2231.05,2249.47,NA,1,NA
2023-04-13,2225.14,2206.77,2225.14,NA,1,NA
2023-04-12,2239.01,2209.77,2215.15,NA,1,NA
2023-04-11,2211.18,2197.96,2211.18,NA,1,NA
2023-04-06,2185.33,2171.5,2184.73,NA,1,NA
2023-04-05,2209.72,2166.57,2174.94,NA,1,NA
2023-04-04,2238.16,2211.42,2215.91,NA,1,NA
2023-04-03,2220.13,2208.09,2211.02,NA,1,NA
2023-03-31,2225.63,2193.57,2223.74,NA,1,NA
2023-03-30,2199.61,2152.84,2199.44,NA,1,NA
2023-03-29,2149.36,2128.68,2149.36,NA,1,NA
2023-03-28,2132.21,2110.49,2115.61,NA,1,NA
2023-03-27,2129.54,2100.43,2111.77,NA,1,NA
2023-03-24,2122.74,2083.53,2087.81,NA,1,NA
2023-03-23,2140.54,2111.74,2136,NA,1,NA
2023-03-22,2155.36,2139.29,2146.83,NA,1,NA
2023-03-21,2152.64,2130.36,2145.4,NA,1,NA
2023-03-20,2130.44,2050.43,2118.71,NA,1,NA
2023-03-17,2145.89,2076.04,2088.02,NA,1,NA
2023-03-16,2134.36,2085.4,2125.23,NA,1,NA
2023-03-15,2179.73,2096.69,2096.8,NA,1,NA
2023-03-14,2193.75,2146.2,2186.36,NA,1,NA
2023-03-13,2202.15,2137.58,2156.58,NA,1,NA
2023-03-10,2213.56,2178.64,2192.06,NA,1,NA
2023-03-09,2252.57,2228.71,2245.11,NA,1,NA
2023-03-08,2253.47,2238.3,2248.52,NA,1,NA
2023-03-07,2268.96,2243.41,2244.66,NA,1,NA
2023-03-06,2268.69,2253.2,2261.86,NA,1,NA
2023-03-03,2254.32,2223.58,2252.76,NA,1,NA
2023-03-02,2219.81,2198.26,2214.67,NA,1,NA
2023-03-01,2243.98,2210.49,2214.68,NA,1,NA
2023-02-28,2233.2,2214.32,2226.75,NA,1,NA
2023-02-27,2244.89,2216.44,2234.99,NA,1,NA
2023-02-24,2240.01,2198.17,2206.43,NA,1,NA
2023-02-23,2242.02,2225.46,2227.58,NA,1,NA
2023-02-22,2225.48,2202.85,2223.3,NA,1,NA
2023-02-21,2246.29,2216.09,2223.49,NA,1,NA
2023-02-20,2254.57,2235.59,2238.45,NA,1,NA
